date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disaster_norm,environmental cooperation_norm,environmental government initiatives_norm,environmental security_norm,environmental -999_norm,environmental arrest_norm,human-induced disaster_norm,displacement_norm,-999_norm,environmental legal action_norm,environmental opinion_norm,slow-onset environmental disaster_norm,environmental corruption_norm,environmental crime_norm,environmental legal change_norm,environmental activism_norm,environmental corporate initiatives_norm,lethal environmental violence_norm,environmental protests_norm,nonlethal environmental violence_norm
2013-11-01,2013,11,3,0,0,0,9,0,1,0,1,0,2,2,0,1,0,0,0,0,0,0,17,17,19,1216,0.0024671052631578900,0.0,0.0,0.0,0.007401315789473680,0.0,0.0008223684210526320,0.0,0.0008223684210526320,0.0,0.001644736842105260,0.001644736842105260,0.0,0.0008223684210526320,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,2013,12,0,0,4,1,3,0,3,0,4,1,4,0,0,0,0,0,0,0,0,0,17,17,20,1073,0.0,0.0,0.003727865796831310,0.0009319664492078290,0.0027958993476234900,0.0,0.0027958993476234900,0.0,0.003727865796831310,0.0009319664492078290,0.003727865796831310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,2014,1,4,0,3,1,5,0,5,0,6,0,11,1,0,1,3,0,1,0,0,0,36,36,41,1961,0.002039775624681290,0.0,0.0015298317185109600,0.0005099439061703210,0.0025497195308516100,0.0,0.0025497195308516100,0.0,0.0030596634370219300,0.0,0.0056093829678735300,0.0005099439061703210,0.0,0.0005099439061703210,0.0015298317185109600,0.0,0.0005099439061703210,0.0,0.0,0.0
2014-02-01,2014,2,0,0,2,0,4,0,2,0,3,0,4,1,1,0,0,0,0,0,1,0,18,18,18,1709,0.0,0.0,0.0011702750146284400,0.0,0.0023405500292568800,0.0,0.0011702750146284400,0.0,0.0017554125219426600,0.0,0.0023405500292568800,0.0005851375073142190,0.0005851375073142190,0.0,0.0,0.0,0.0,0.0,0.0005851375073142190,0.0
2014-03-01,2014,3,1,0,2,0,13,0,4,0,8,0,4,4,1,1,0,0,1,0,0,0,31,31,39,1636,0.0006112469437652810,0.0,0.0012224938875305600,0.0,0.007946210268948660,0.0,0.0024449877750611200,0.0,0.004889975550122250,0.0,0.0024449877750611200,0.0024449877750611200,0.0006112469437652810,0.0006112469437652810,0.0,0.0,0.0006112469437652810,0.0,0.0,0.0
2014-04-01,2014,4,2,1,4,1,6,0,2,0,3,1,2,1,1,1,1,1,0,0,1,0,27,27,28,1978,0.0010111223458038400,0.0005055611729019210,0.0020222446916076800,0.0005055611729019210,0.003033367037411530,0.0,0.0010111223458038400,0.0,0.0015166835187057600,0.0005055611729019210,0.0010111223458038400,0.0005055611729019210,0.0005055611729019210,0.0005055611729019210,0.0005055611729019210,0.0005055611729019210,0.0,0.0,0.0005055611729019210,0.0
2014-05-01,2014,5,1,0,2,0,3,0,5,0,1,0,4,2,1,0,1,0,0,0,0,0,19,19,20,1753,0.0005704506560182540,0.0,0.0011409013120365100,0.0,0.0017113519680547600,0.0,0.002852253280091270,0.0,0.0005704506560182540,0.0,0.0022818026240730200,0.0011409013120365100,0.0005704506560182540,0.0,0.0005704506560182540,0.0,0.0,0.0,0.0,0.0
2014-06-01,2014,6,0,0,2,0,7,0,3,0,4,0,2,1,0,1,1,0,0,0,0,0,18,18,21,1591,0.0,0.0,0.001257071024512890,0.0,0.0043997485857951000,0.0,0.0018856065367693300,0.0,0.00251414204902577,0.0,0.001257071024512890,0.0006285355122564430,0.0,0.0006285355122564430,0.0006285355122564430,0.0,0.0,0.0,0.0,0.0
2014-07-01,2014,7,2,0,3,0,3,0,1,0,4,0,6,3,1,2,0,0,0,0,0,0,22,22,25,1786,0.0011198208286674100,0.0,0.0016797312430011200,0.0,0.0016797312430011200,0.0,0.0005599104143337070,0.0,0.0022396416573348300,0.0,0.0033594624860022400,0.0016797312430011200,0.0005599104143337070,0.0011198208286674100,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,2014,8,1,0,4,0,7,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,17,17,18,1632,0.0006127450980392160,0.0,0.0024509803921568600,0.0,0.00428921568627451,0.0,0.0012254901960784300,0.0006127450980392160,0.0006127450980392160,0.0,0.0006127450980392160,0.0,0.0,0.0,0.0006127450980392160,0.0,0.0,0.0,0.0,0.0
